City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,Pietermaritzburg,-29.6168,30.3928,72.0,79,44,1.01,ZA,2021-03-28 12:42:53
174,Qaqortoq,60.7167,-46.0333,17.65,56,0,2.73,GL,2021-03-28 12:42:54
175,Saint-Philippe,-21.3585,55.7679,87.8,74,75,6.91,RE,2021-03-28 12:42:54
176,Turkmenabat,39.0733,63.5786,51.8,82,90,25.32,TM,2021-03-28 12:42:54
177,Daru,-9.0763,143.2092,82.26,85,100,15.73,PG,2021-03-28 12:42:54
178,Tiksi,71.6872,128.8694,2.34,99,99,1.21,RU,2021-03-28 12:42:55
179,Nha Trang,12.25,109.1833,78.8,89,0,2.3,VN,2021-03-28 12:42:55
180,Tulun,54.5611,100.5792,24.67,97,100,3.02,RU,2021-03-28 12:42:55
181,Gaillac,43.9016,1.8969,66.99,30,0,3.44,FR,2021-03-28 12:42:55
182,Khatanga,71.9667,102.5,-0.45,97,98,7.11,RU,2021-03-28 12:42:56
183,Ribeira Grande,38.5167,-28.7,62.6,72,40,12.66,PT,2021-03-28 12:42:56
184,Maniitsoq,65.4167,-52.9,-0.56,56,13,4.0,GL,2021-03-28 12:42:56
185,Coahuayana,18.7333,-103.6833,66.47,44,68,3.42,MX,2021-03-28 12:42:56
186,Port Alfred,-33.5906,26.891,66.81,65,99,16.49,ZA,2021-03-28 12:42:57
187,Port Blair,11.6667,92.75,82.99,72,100,5.39,IN,2021-03-28 12:42:57
188,Mujiayingzi,42.1167,118.7833,42.01,23,0,20.04,CN,2021-03-28 12:42:57
189,Nampula,-15.1165,39.2666,87.8,51,75,3.44,MZ,2021-03-28 12:42:57
190,Bilibino,68.0546,166.4372,-23.6,96,35,4.36,RU,2021-03-28 12:42:58
191,Lake City,30.1897,-82.6393,68.0,94,90,7.49,US,2021-03-28 12:41:07
192,Soria,41.6667,-2.6667,60.01,43,0,1.01,ES,2021-03-28 12:42:58
193,Andenes,69.3143,16.1194,39.99,70,75,8.05,NO,2021-03-28 12:42:58
194,Cap-Aux-Meules,47.3821,-61.8597,28.4,69,100,6.91,CA,2021-03-28 12:42:58
195,Ginir,7.1333,40.7,76.71,19,100,11.39,ET,2021-03-28 12:42:58
196,Mpika,-11.8343,31.4529,72.63,73,93,2.64,ZM,2021-03-28 12:42:59
197,Padang,-0.9492,100.3543,78.8,94,75,4.61,ID,2021-03-28 12:42:59
198,Kununurra,-15.7667,128.7333,78.8,83,93,8.46,AU,2021-03-28 12:42:59
199,Sinnai,39.3042,9.2036,71.6,63,0,9.22,IT,2021-03-28 12:41:21
200,Odesa,46.4775,30.7326,53.6,58,0,11.18,UA,2021-03-28 12:41:10
201,Severo-Kurilsk,50.6789,156.125,25.03,76,56,17.52,RU,2021-03-28 12:43:00
202,Ruidoso,33.3317,-105.673,35.01,87,0,4.56,US,2021-03-28 12:42:10
203,Vao,-22.6667,167.4833,77.27,82,61,12.53,NC,2021-03-28 12:43:00
204,Evensk,61.95,159.2333,-7.67,84,20,4.36,RU,2021-03-28 12:43:00
205,Sept-Iles,50.2001,-66.3821,24.01,73,90,11.5,CA,2021-03-28 12:43:00
206,Bowen,-20.0167,148.2333,71.6,88,0,4.61,AU,2021-03-28 12:43:01
207,Tari,12.4086,4.4914,97.95,6,0,12.21,NG,2021-03-28 12:43:01
208,Rio Grande,-32.035,-52.0986,73.4,88,75,2.3,BR,2021-03-28 12:43:01
209,Calama,-22.4667,-68.9333,44.6,36,0,23.02,CL,2021-03-28 12:43:01
210,Floresta,-8.6011,-38.5686,86.36,48,44,8.05,BR,2021-03-28 12:43:02
211,Antsohihy,-14.8796,47.9875,82.31,84,100,3.6,MG,2021-03-28 12:43:02
212,San Cristobal,7.7669,-72.225,71.6,100,75,2.3,VE,2021-03-28 12:43:02
213,Ca Mau,9.1769,105.15,81.25,75,7,6.91,VN,2021-03-28 12:43:02
214,Jinka,5.65,36.65,82.36,25,100,4.65,ET,2021-03-28 12:43:02
215,Luanda,-8.8368,13.2343,86.0,70,40,9.22,AO,2021-03-28 12:43:03
216,Alexandria,31.2156,29.9553,66.2,42,40,16.11,EG,2021-03-28 12:42:51
217,Sasovo,54.3537,41.9199,36.14,89,89,6.4,RU,2021-03-28 12:43:03
218,Cherskiy,68.75,161.3,-7.6,90,100,3.02,RU,2021-03-28 12:43:03
219,Akniste,56.1615,25.7478,45.57,60,100,8.57,LV,2021-03-28 12:43:03
220,Tuatapere,-46.1333,167.6833,55.0,97,100,1.01,NZ,2021-03-28 12:43:04
221,Egvekinot,66.3167,-179.1667,1.72,79,100,9.33,RU,2021-03-28 12:43:04
222,Necochea,-38.5473,-58.7368,64.99,84,95,4.0,AR,2021-03-28 12:41:01
223,Guataqui,4.5157,-74.7894,73.31,91,100,0.69,CO,2021-03-28 12:43:04
224,Guerrero Negro,27.9769,-114.0611,56.08,51,0,2.46,MX,2021-03-28 12:43:04
225,Arman,59.7,150.1667,0.72,98,76,3.38,RU,2021-03-28 12:43:05
